Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
overweight,female,vegan,daily,natural gas,0.0,never,72,very frequently,98,0.0,3,20,22,3,Sometimes,['Paper'],['Microwave'],2119,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,39,5,5,4,1829,76,Vashi,"Corporate, Residential, Vehicular",754.59,554.65,818.03,719.37,320.03,0.0,Winter,3166.67,"500,700,600"
normal,male,vegan,daily,electricity,0.0,often,249,never,7179,0.0,6,21,9,13,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3821,Finance,Mumbai,India,6.0,0.0,0.0,1.0,23,2,8,16,229,99,Bandra Kurla Complex,Corporate,740.93,816.62,1001.38,637.87,304.43,2068.02,Monsoon,5569.25,650
underweight,female,vegan,more frequently,wood,0.0,often,124,never,80,0.0,1,6,34,23,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1187,Other,Navi Mumbai,India,1.0,0.0,0.0,1.0,2,0,21,0,1273,35,CBD Belapur,"Corporate, Vehicular",580.05,497.39,859.59,706.81,293.34,0.0,Winter,2937.18,"500,600"
obese,male,pescatarian,more frequently,natural gas,0.0,often,128,very frequently,1706,0.0,2,23,24,8,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",3308,Other,Navi Mumbai,India,2.0,0.0,0.0,1.0,21,3,45,15,726,139,Turbhe,"Industrial, Vehicular",537.85,434.39,1205.41,662.05,293.8,0.0,Summer,3133.5,"1000,600"
underweight,male,vegan,daily,natural gas,0.0,sometimes,72,frequently,55,0.0,7,6,42,12,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2248,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,1,3,50,2,265,28,CBD Belapur,"Corporate, Vehicular",630.75,477.74,936.54,727.78,380.05,0.0,Winter,3152.86,"500,600"
obese,male,vegan,daily,wood,0.0,often,162,frequently,546,0.0,5,21,17,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",2936,Operations,Mumbai,India,5.0,0.0,0.0,1.0,23,2,24,9,1372,47,Goregaon,"Residential, Construction",922.21,633.43,946.15,658.53,503.35,1721.16,Summer,5384.83,"850,400"
normal,male,vegan,more frequently,electricity,0.0,often,51,frequently,25,0.0,5,22,14,24,Yes,[],['Oven'],1721,Sales,Mumbai,India,5.0,0.0,0.0,1.0,29,4,57,18,781,64,Worli,"Vehicular, Construction",662.72,623.78,938.76,904.94,415.25,1507.82,Monsoon,5053.27,"750,400"
underweight,female,pescatarian,less frequently,wood,0.0,never,232,rarely,488,0.0,7,17,14,11,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",1745,Engineering,Mumbai,India,7.0,0.0,0.0,1.0,37,1,30,10,1791,77,Bandra Kurla Complex,Corporate,719.93,632.17,1116.31,651.77,390.54,1527.05,Winter,5037.77,650
underweight,female,pescatarian,less frequently,electricity,0.0,never,190,rarely,7,0.0,7,23,4,2,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",769,Finance,Mumbai,India,7.0,0.0,0.0,1.0,1,2,20,2,674,48,Sion,"Vehicular, Construction",782.15,532.87,1178.1,822.7,336.6,1727.22,Monsoon,5379.64,"750,400"
obese,female,vegan,twice a day,electricity,0.0,sometimes,249,frequently,1006,0.0,7,6,5,3,Sometimes,"['Plastic', 'Metal']",['Stove'],1933,Student,Navi Mumbai,India,7.0,0.0,0.0,1.0,20,3,37,1,1396,114,Taloja,"Industrial, Construction",566.77,502.75,1228.33,547.04,320.54,0.0,Monsoon,3165.43,"1000,350"
underweight,female,vegan,daily,electricity,0.0,often,75,very frequently,3782,0.0,7,22,45,8,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3207,Student,Mumbai,India,7.0,0.0,0.0,1.0,32,0,51,2,342,140,Worli,"Vehicular, Construction",824.0,524.72,1145.77,834.2,401.36,1977.41,Monsoon,5707.46,"750,400"
obese,male,pescatarian,daily,natural gas,0.0,often,132,very frequently,41,0.0,7,16,47,23,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",4194,Student,Mumbai,India,7.0,0.0,0.0,1.0,11,2,18,14,467,76,Malad West,"Residential, Construction",906.63,544.71,1056.43,612.92,369.54,1606.33,Winter,5096.56,"850,400"
overweight,male,vegetarian,twice a day,wood,0.0,sometimes,54,very frequently,1218,0.0,1,14,46,10,Sometimes,"['Paper', 'Plastic', 'Glass']",[],2591,Sales,Mumbai,India,1.0,0.0,0.0,1.0,21,1,9,19,798,52,Andheri (Airport area),"Vehicular, Corporate, Airport",749.72,646.61,871.16,734.16,275.14,2331.63,Summer,5608.42,"750,650,2000"
overweight,female,vegetarian,more frequently,natural gas,0.0,often,92,very frequently,13,0.0,6,15,4,22,No,"['Glass', 'Metal']","['Stove', 'Oven']",2238,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,24,1,45,8,726,127,Koparkhairane,"Residential, Industrial",746.28,512.54,970.63,475.99,317.85,0.0,Monsoon,3023.29,"700,1000"
obese,male,vegan,less frequently,electricity,0.0,often,267,frequently,1338,0.0,3,16,18,9,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven']",2091,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,26,1,36,14,357,35,Ghansoli,"Residential, Industrial",702.34,410.34,1125.57,530.46,375.31,0.0,Winter,3144.02,"700,1000"
obese,female,vegetarian,more frequently,coal,0.0,sometimes,105,rarely,696,0.0,1,16,5,14,No,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1349,Finance,Mumbai,India,1.0,0.0,0.0,1.0,27,5,11,1,1990,108,Borivali,"Residential, Vehicular",1036.55,632.75,1052.87,831.63,395.03,1785.19,Winter,5734.02,"850,750"
underweight,male,vegan,more frequently,coal,0.0,often,179,rarely,8688,0.0,5,19,14,5,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4574,Engineering,Mumbai,India,5.0,0.0,0.0,1.0,15,4,18,5,1458,100,Borivali,"Residential, Vehicular",869.59,556.83,957.55,791.8,332.52,1836.07,Monsoon,5344.36,"850,750"
normal,female,vegan,less frequently,electricity,0.0,often,76,very frequently,31,0.0,4,1,0,0,No,"['Paper', 'Glass']",['Stove'],1467,Student,Mumbai,India,4.0,0.0,0.0,1.0,14,2,1,4,306,101,Sion,"Vehicular, Construction",792.15,541.98,1171.36,874.46,446.55,1799.77,Monsoon,5626.27,"750,400"
obese,female,pescatarian,more frequently,coal,0.0,never,55,frequently,22,0.0,4,7,29,0,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2370,Sales,Mumbai,India,4.0,0.0,0.0,1.0,2,1,14,5,1231,115,Andheri (Airport area),"Vehicular, Corporate, Airport",815.08,640.66,980.23,791.17,306.49,2441.1,Winter,5974.73,"750,650,2000"
overweight,male,omnivore,less frequently,wood,0.0,often,117,very frequently,1436,0.0,2,9,34,5,No,[],['Microwave'],3295,Student,Mumbai,India,2.0,0.0,0.0,1.0,36,1,37,4,355,76,Goregaon,"Residential, Construction",1004.78,619.46,999.11,632.7,444.77,1785.77,Winter,5486.59,"850,400"
obese,male,vegetarian,more frequently,natural gas,0.0,never,214,very frequently,1,0.0,7,5,21,3,Yes,['Glass'],"['Oven', 'Microwave']",4071,Student,Navi Mumbai,India,7.0,0.0,0.0,1.0,6,0,7,11,1744,47,Taloja,"Industrial, Construction",673.05,443.99,1153.57,450.53,413.75,0.0,Winter,3134.89,"1000,350"
normal,female,vegetarian,less frequently,electricity,0.0,often,135,frequently,964,0.0,3,19,31,5,No,"['Plastic', 'Metal']",[],1699,Student,Mumbai,India,3.0,0.0,0.0,1.0,20,2,45,3,346,140,Andheri (Airport area),"Vehicular, Corporate, Airport",800.17,702.97,1074.9,790.52,269.98,2480.78,Monsoon,6119.32,"750,650,2000"
underweight,female,pescatarian,more frequently,coal,0.0,sometimes,209,never,6528,0.0,6,8,24,22,No,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1858,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,8,1,34,13,1349,66,Nerul,"Residential, Corporate, Construction",770.36,580.29,920.78,554.73,442.16,0.0,Summer,3268.32,"700,500,350"
overweight,male,vegan,more frequently,electricity,0.0,often,193,rarely,88,0.0,6,9,17,8,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1210,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,38,3,37,13,277,29,Airoli,"Residential, Corporate",742.57,551.48,918.85,470.08,336.92,0.0,Summer,3019.9,"700,500"
normal,female,pescatarian,daily,coal,0.0,often,243,rarely,1167,0.0,3,20,37,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1508,Finance,Mumbai,India,3.0,0.0,0.0,1.0,17,4,42,10,1266,60,Bandra Kurla Complex,Corporate,731.37,696.97,1048.82,763.75,324.96,1760.3,Winter,5326.17,650
obese,male,vegan,less frequently,coal,0.0,often,204,never,627,0.0,6,22,48,3,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2435,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,3,2,29,0,1269,93,Taloja,"Industrial, Construction",646.11,413.69,972.9,510.65,369.45,0.0,Winter,2912.8,"1000,350"
underweight,male,omnivore,twice a day,natural gas,0.0,often,197,frequently,5,0.0,3,14,4,16,No,['Metal'],[],1838,Finance,Mumbai,India,3.0,0.0,0.0,1.0,24,1,8,4,1200,34,Bandra Kurla Complex,Corporate,702.23,581.49,1133.51,661.62,285.52,2073.32,Monsoon,5437.69,650
obese,male,vegetarian,twice a day,coal,0.0,often,295,never,1307,0.0,3,9,19,11,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2009,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,13,2,29,4,137,93,Malad West,"Residential, Construction",995.18,463.31,952.28,701.58,482.89,1796.61,Monsoon,5391.85,"850,400"
overweight,female,vegetarian,daily,coal,0.0,sometimes,193,frequently,11,0.0,4,6,40,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2342,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,8,3,48,11,491,71,Vashi,"Corporate, Residential, Vehicular",753.85,630.28,812.93,620.53,318.12,0.0,Summer,3135.71,"500,700,600"
overweight,male,vegetarian,twice a day,electricity,0.0,often,72,rarely,1367,0.0,4,14,26,3,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1299,Finance,Mumbai,India,4.0,0.0,0.0,1.0,25,3,18,4,691,78,Borivali,"Residential, Vehicular",847.03,648.12,1150.86,809.18,397.48,1890.48,Post-Monsoon,5743.15,"850,750"
obese,male,vegetarian,more frequently,electricity,0.0,often,168,rarely,1034,0.0,5,19,4,23,No,['Plastic'],['Stove'],1516,Other,Navi Mumbai,India,5.0,0.0,0.0,1.0,1,1,28,12,759,137,Nerul,"Residential, Corporate, Construction",821.33,496.23,854.41,454.6,360.2,0.0,Monsoon,2986.77,"700,500,350"
normal,female,omnivore,less frequently,electricity,0.0,often,59,very frequently,1014,0.0,5,7,33,13,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2166,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,19,2,1,10,1567,58,CBD Belapur,"Corporate, Vehicular",616.44,566.16,817.46,660.49,262.56,0.0,Monsoon,2923.11,"500,600"
obese,male,vegetarian,less frequently,wood,0.0,never,179,rarely,648,0.0,5,21,44,18,Sometimes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2708,Operations,Navi Mumbai,India,5.0,0.0,0.0,1.0,27,3,27,0,893,145,Vashi,"Corporate, Residential, Vehicular",747.47,564.51,933.44,668.76,348.09,0.0,Winter,3262.27,"500,700,600"
overweight,female,omnivore,twice a day,coal,0.0,often,259,very frequently,1028,0.0,3,10,16,1,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3026,Sales,Navi Mumbai,India,3.0,0.0,0.0,1.0,6,1,7,11,1030,61,Nerul,"Residential, Corporate, Construction",769.66,529.15,977.13,569.57,409.54,0.0,Summer,3255.05,"700,500,350"
overweight,male,vegan,more frequently,natural gas,0.0,often,118,never,28,0.0,3,6,46,23,Yes,['Metal'],"['Oven', 'Microwave']",2017,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,7,2,24,5,220,70,Andheri (Airport area),"Vehicular, Corporate, Airport",762.72,688.79,992.64,741.47,297.46,2200.14,Winter,5683.22,"750,650,2000"
obese,male,vegan,twice a day,coal,0.0,never,56,very frequently,1112,0.0,5,5,17,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",3198,Engineering,Navi Mumbai,India,5.0,0.0,0.0,1.0,34,3,9,10,436,69,CBD Belapur,"Corporate, Vehicular",593.04,597.89,828.46,602.31,393.98,0.0,Summer,3015.68,"500,600"
obese,male,vegetarian,daily,coal,0.0,sometimes,226,very frequently,1741,0.0,1,9,42,2,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3619,Student,Mumbai,India,1.0,0.0,0.0,1.0,13,0,21,11,1789,111,Worli,"Vehicular, Construction",751.9,622.77,1045.21,729.82,420.71,1742.57,Monsoon,5312.98,"750,400"
obese,male,vegan,twice a day,natural gas,0.0,never,69,never,1903,0.0,1,18,22,4,Yes,"['Plastic', 'Metal']",[],1079,Operations,Mumbai,India,1.0,0.0,0.0,1.0,16,2,34,5,1909,124,Malad West,"Residential, Construction",1015.47,680.88,947.44,596.79,476.67,1673.71,Monsoon,5390.96,"850,400"
underweight,male,pescatarian,less frequently,electricity,0.0,often,249,very frequently,363,0.0,1,11,23,9,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2084,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,35,2,41,4,783,85,Turbhe,"Industrial, Vehicular",619.4,364.24,1053.31,671.0,259.41,0.0,Summer,2967.36,"1000,600"
obese,male,vegetarian,more frequently,coal,0.0,never,205,very frequently,1787,0.0,3,1,47,13,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",3995,Other,Mumbai,India,3.0,0.0,0.0,1.0,39,2,23,17,234,77,Borivali,"Residential, Vehicular",1000.27,612.21,1034.24,807.35,334.45,1868.38,Summer,5656.9,"850,750"
obese,female,vegetarian,less frequently,electricity,0.0,sometimes,93,never,1406,0.0,4,17,18,5,Yes,['Metal'],['Stove'],1214,Finance,Mumbai,India,4.0,0.0,0.0,1.0,3,1,25,15,1359,146,Malad West,"Residential, Construction",989.64,649.99,1110.74,659.63,347.55,2020.66,Post-Monsoon,5778.21,"850,400"
obese,female,vegetarian,twice a day,electricity,0.0,never,94,never,32,0.0,4,11,2,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",737,Other,Mumbai,India,4.0,0.0,0.0,1.0,1,3,30,12,1158,23,Mazgaon,"Vehicular, Residential",872.37,472.85,1151.89,802.48,253.62,1925.75,Monsoon,5478.96,"750,850"
obese,female,vegan,twice a day,wood,0.0,often,273,frequently,296,0.0,6,10,45,8,Sometimes,['Paper'],[],2855,Other,Mumbai,India,6.0,0.0,0.0,1.0,5,3,22,6,1135,51,Andheri (Airport area),"Vehicular, Corporate, Airport",819.33,726.93,1199.61,919.31,372.62,2369.85,Summer,6407.65,"750,650,2000"
overweight,female,vegetarian,daily,electricity,0.0,sometimes,133,rarely,85,0.0,7,14,18,10,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1345,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,3,2,1,13,1500,81,Airoli,"Residential, Corporate",787.89,649.76,871.52,536.74,253.82,0.0,Monsoon,3099.73,"700,500"
normal,male,omnivore,twice a day,coal,0.0,often,51,frequently,1878,0.0,7,2,50,16,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2543,Operations,Mumbai,India,7.0,0.0,0.0,1.0,28,0,58,0,1874,37,Bandra Kurla Complex,Corporate,776.35,819.2,1157.64,642.96,368.11,2089.03,Winter,5853.29,650
overweight,female,vegetarian,less frequently,coal,0.0,never,65,very frequently,420,0.0,4,6,24,2,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2808,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,17,1,38,11,468,125,Nerul,"Residential, Corporate, Construction",700.68,463.43,938.79,588.44,439.3,0.0,Winter,3130.64,"700,500,350"
underweight,female,vegetarian,daily,wood,0.0,often,105,rarely,65,0.0,6,3,3,0,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1065,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,25,3,32,2,1935,84,Kharghar,"Residential, Construction",693.32,480.21,790.26,499.78,396.75,0.0,Winter,2860.32,"700,350"
normal,female,omnivore,more frequently,coal,0.0,sometimes,160,frequently,922,0.0,4,7,30,9,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2137,Engineering,Mumbai,India,4.0,0.0,0.0,1.0,33,4,23,17,1164,99,Mazgaon,"Vehicular, Residential",938.5,614.06,1103.36,831.04,326.05,1539.13,Winter,5352.14,"750,850"
underweight,male,omnivore,less frequently,natural gas,0.0,never,232,frequently,7937,0.0,4,3,15,4,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",4077,Engineering,Navi Mumbai,India,4.0,0.0,0.0,1.0,9,0,11,10,153,56,Airoli,"Residential, Corporate",763.95,624.43,826.11,493.12,379.89,0.0,Summer,3087.5,"700,500"
normal,male,vegan,daily,wood,0.0,never,151,frequently,87,0.0,7,7,21,8,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2397,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,35,0,36,19,1252,92,Nerul,"Residential, Corporate, Construction",774.92,613.78,792.29,455.05,330.92,0.0,Winter,2966.96,"700,500,350"
obese,male,vegetarian,more frequently,electricity,0.0,sometimes,52,very frequently,65,0.0,7,0,18,13,No,['Glass'],[],3359,Student,Mumbai,India,7.0,0.0,0.0,1.0,13,2,8,6,380,100,Worli,"Vehicular, Construction",739.81,598.5,1123.96,820.4,370.57,1982.7,Monsoon,5635.94,"750,400"
obese,female,vegan,daily,coal,0.0,never,209,frequently,276,0.0,7,11,20,18,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2627,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,30,1,43,9,1459,119,Koparkhairane,"Residential, Industrial",808.6,440.6,1026.26,520.19,295.32,0.0,Monsoon,3090.97,"700,1000"
overweight,female,vegetarian,twice a day,wood,0.0,often,283,very frequently,228,0.0,3,2,40,17,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2987,Engineering,Navi Mumbai,India,3.0,0.0,0.0,1.0,14,2,42,18,348,78,Nerul,"Residential, Corporate, Construction",829.41,539.34,990.35,596.55,421.54,0.0,Summer,3377.19,"700,500,350"
normal,male,pescatarian,daily,electricity,0.0,sometimes,184,never,3434,0.0,4,15,6,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2041,Student,Navi Mumbai,India,4.0,0.0,0.0,1.0,7,1,43,12,1120,114,CBD Belapur,"Corporate, Vehicular",576.78,597.29,867.15,623.76,251.81,0.0,Summer,2916.79,"500,600"
obese,female,pescatarian,daily,wood,0.0,never,106,rarely,1928,0.0,6,13,29,18,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",2001,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,13,0,2,13,989,56,Vashi,"Corporate, Residential, Vehicular",707.39,543.89,777.37,602.34,277.99,0.0,Winter,2908.98,"500,700,600"
obese,female,omnivore,less frequently,electricity,0.0,never,116,frequently,9684,0.0,5,13,30,1,Yes,['Glass'],['Stove'],4839,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,22,0,43,14,1906,120,Airoli,"Residential, Corporate",718.16,529.65,735.4,514.94,315.29,0.0,Monsoon,2813.44,"700,500"
underweight,male,pescatarian,more frequently,natural gas,0.0,never,212,rarely,957,0.0,7,10,24,19,No,"['Paper', 'Glass']","['Stove', 'Microwave']",1688,Finance,Mumbai,India,7.0,0.0,0.0,1.0,39,1,22,5,686,148,Bandra Kurla Complex,Corporate,714.79,800.83,957.05,622.55,352.87,1846.58,Monsoon,5294.67,650
normal,male,vegetarian,twice a day,wood,0.0,sometimes,258,rarely,68,0.0,1,5,40,20,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1739,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,20,1,23,6,456,72,Taloja,"Industrial, Construction",561.3,435.65,967.51,521.11,339.74,0.0,Summer,2825.31,"1000,350"
normal,female,vegan,more frequently,electricity,0.0,never,228,rarely,9420,0.0,3,2,42,16,Sometimes,"['Paper', 'Glass']",['Microwave'],2683,Operations,Navi Mumbai,India,3.0,0.0,0.0,1.0,15,4,32,12,586,81,Turbhe,"Industrial, Vehicular",583.39,410.67,1155.42,613.73,308.57,0.0,Winter,3071.78,"1000,600"
normal,female,omnivore,less frequently,electricity,0.0,sometimes,151,frequently,1502,0.0,7,20,34,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2039,Other,Mumbai,India,7.0,0.0,0.0,1.0,17,0,29,15,1510,70,Andheri (Airport area),"Vehicular, Corporate, Airport",824.55,686.1,1056.45,888.31,378.41,2441.73,Monsoon,6275.55,"750,650,2000"
normal,male,pescatarian,more frequently,coal,0.0,sometimes,228,frequently,315,0.0,5,12,24,17,Yes,"['Plastic', 'Glass']",['Stove'],2158,Operations,Navi Mumbai,India,5.0,0.0,0.0,1.0,23,1,37,14,1808,33,Turbhe,"Industrial, Vehicular",574.13,385.14,982.66,578.37,350.72,0.0,Winter,2871.02,"1000,600"
