Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
normal,male,vegetarian,more frequently,coal,often,249,never,35,1,14,7,4,No,['Metal'],"['Grill', 'Airfryer']",1349,Finance,Navi Mumbai,India,230.0,23,0,10,1,637,55,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Winter,230.0,"700,500,350"
obese,female,pescatarian,less frequently,electricity,never,190,very frequently,29,7,23,1,17,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2761,Engineering,Navi Mumbai,India,230.0,35,2,55,0,329,82,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Monsoon,230.0,"700,1000"
overweight,female,vegan,daily,natural gas,never,72,very frequently,98,3,20,22,3,Sometimes,['Paper'],['Microwave'],2119,Finance,Navi Mumbai,India,235.0,39,5,5,4,1829,76,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
normal,male,vegan,daily,electricity,often,249,never,7179,6,21,9,13,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3821,Finance,Mumbai,India,240.0,23,2,8,16,229,99,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
underweight,female,vegan,more frequently,wood,often,124,never,80,1,6,34,23,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1187,Other,Navi Mumbai,India,205.0,2,0,21,0,1273,35,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Winter,205.0,"500,600"
obese,male,pescatarian,more frequently,natural gas,often,128,very frequently,1706,2,23,24,8,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",3308,Other,Navi Mumbai,India,265.0,21,3,45,15,726,139,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Summer,265.0,"1000,600"
underweight,male,vegan,daily,natural gas,sometimes,72,frequently,55,7,6,42,12,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2248,Operations,Navi Mumbai,India,205.0,1,3,50,2,265,28,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Winter,205.0,"500,600"
obese,male,vegan,daily,wood,often,162,frequently,546,5,21,17,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",2936,Operations,Mumbai,India,230.0,23,2,24,9,1372,47,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Summer,230.0,"850,400"
normal,male,vegan,more frequently,electricity,often,51,frequently,25,5,22,14,24,Yes,[],['Oven'],1721,Sales,Mumbai,India,225.0,29,4,57,18,781,64,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
underweight,female,pescatarian,less frequently,wood,never,232,rarely,488,7,17,14,11,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",1745,Engineering,Mumbai,India,240.0,37,1,30,10,1791,77,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Winter,240.00000000000003,650
underweight,female,pescatarian,less frequently,electricity,never,190,rarely,7,7,23,4,2,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",769,Finance,Mumbai,India,240.0,1,2,20,2,674,48,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Monsoon,240.0,"750,400"
obese,female,vegan,twice a day,electricity,sometimes,249,frequently,1006,7,6,5,3,Sometimes,"['Plastic', 'Metal']",['Stove'],1933,Student,Navi Mumbai,India,285.0,20,3,37,1,1396,114,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Monsoon,285.0,"1000,350"
underweight,female,vegan,daily,electricity,often,75,very frequently,3782,7,22,45,8,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3207,Student,Mumbai,India,225.0,32,0,51,2,342,140,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
obese,male,pescatarian,daily,natural gas,often,132,very frequently,41,7,16,47,23,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",4194,Student,Mumbai,India,225.0,11,2,18,14,467,76,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Winter,225.0,"850,400"
overweight,male,vegetarian,twice a day,wood,sometimes,54,very frequently,1218,1,14,46,10,Sometimes,"['Paper', 'Plastic', 'Glass']",[],2591,Sales,Mumbai,India,1.0,21,1,9,19,798,52,Andheri (Airport area),"Vehicular, Corporate, Airport",749.72,646.61,871.16,734.16,275.14,2331.63,Summer,5608.42,"750,650,2000"
overweight,female,vegetarian,more frequently,natural gas,often,92,very frequently,13,6,15,4,22,No,"['Glass', 'Metal']","['Stove', 'Oven']",2238,Finance,Navi Mumbai,India,230.0,24,1,45,8,726,127,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Monsoon,230.0,"700,1000"
obese,male,vegan,less frequently,electricity,often,267,frequently,1338,3,16,18,9,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven']",2091,Finance,Navi Mumbai,India,245.0,26,1,36,14,357,35,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Winter,245.0,"700,1000"
obese,female,vegetarian,more frequently,coal,sometimes,105,rarely,696,1,16,5,14,No,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1349,Finance,Mumbai,India,210.0,27,5,11,1,1990,108,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Winter,210.0,"850,750"
underweight,male,vegan,more frequently,coal,often,179,rarely,8688,5,19,14,5,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4574,Engineering,Mumbai,India,210.0,15,4,18,5,1458,100,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Monsoon,210.0,"850,750"
normal,female,vegan,less frequently,electricity,often,76,very frequently,31,4,1,0,0,No,"['Paper', 'Glass']",['Stove'],1467,Student,Mumbai,India,240.0,14,2,1,4,306,101,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Monsoon,240.0,"750,400"
obese,female,pescatarian,more frequently,coal,never,55,frequently,22,4,7,29,0,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2370,Sales,Mumbai,India,4.0,2,1,14,5,1231,115,Andheri (Airport area),"Vehicular, Corporate, Airport",815.08,640.66,980.23,791.17,306.49,2441.1,Winter,5974.73,"750,650,2000"
overweight,male,omnivore,less frequently,wood,often,117,very frequently,1436,2,9,34,5,No,[],['Microwave'],3295,Student,Mumbai,India,230.0,36,1,37,4,355,76,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Winter,230.0,"850,400"
obese,male,vegetarian,more frequently,natural gas,never,214,very frequently,1,7,5,21,3,Yes,['Glass'],"['Oven', 'Microwave']",4071,Student,Navi Mumbai,India,285.0,6,0,7,11,1744,47,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Winter,285.0,"1000,350"
normal,female,vegetarian,less frequently,electricity,often,135,frequently,964,3,19,31,5,No,"['Plastic', 'Metal']",[],1699,Student,Mumbai,India,3.0,20,2,45,3,346,140,Andheri (Airport area),"Vehicular, Corporate, Airport",800.17,702.97,1074.9,790.52,269.98,2480.78,Monsoon,6119.32,"750,650,2000"
underweight,female,pescatarian,more frequently,coal,sometimes,209,never,6528,6,8,24,22,No,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1858,Sales,Navi Mumbai,India,230.0,8,1,34,13,1349,66,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Summer,230.0,"700,500,350"
overweight,male,vegan,more frequently,electricity,often,193,rarely,88,6,9,17,8,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1210,Finance,Navi Mumbai,India,225.0,38,3,37,13,277,29,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Summer,225.0,"700,500"
normal,female,pescatarian,daily,coal,often,243,rarely,1167,3,20,37,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1508,Finance,Mumbai,India,240.0,17,4,42,10,1266,60,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Winter,240.00000000000003,650
obese,male,vegan,less frequently,coal,often,204,never,627,6,22,48,3,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2435,Student,Navi Mumbai,India,285.0,3,2,29,0,1269,93,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Winter,285.0,"1000,350"
underweight,male,omnivore,twice a day,natural gas,often,197,frequently,5,3,14,4,16,No,['Metal'],[],1838,Finance,Mumbai,India,240.0,24,1,8,4,1200,34,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
obese,male,vegetarian,twice a day,coal,often,295,never,1307,3,9,19,11,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2009,Engineering,Mumbai,India,225.0,13,2,29,4,137,93,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
overweight,female,vegetarian,daily,coal,sometimes,193,frequently,11,4,6,40,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2342,Operations,Navi Mumbai,India,235.0,8,3,48,11,491,71,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Summer,235.0,"500,700,600"
overweight,male,vegetarian,twice a day,electricity,often,72,rarely,1367,4,14,26,3,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1299,Finance,Mumbai,India,210.0,25,3,18,4,691,78,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Post-Monsoon,210.0,"850,750"
obese,male,vegetarian,more frequently,electricity,often,168,rarely,1034,5,19,4,23,No,['Plastic'],['Stove'],1516,Other,Navi Mumbai,India,230.0,1,1,28,12,759,137,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Monsoon,230.0,"700,500,350"
normal,female,omnivore,less frequently,electricity,often,59,very frequently,1014,5,7,33,13,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2166,Sales,Navi Mumbai,India,205.0,19,2,1,10,1567,58,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Monsoon,205.0,"500,600"
obese,male,vegetarian,less frequently,wood,never,179,rarely,648,5,21,44,18,Sometimes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2708,Operations,Navi Mumbai,India,235.0,27,3,27,0,893,145,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
overweight,female,omnivore,twice a day,coal,often,259,very frequently,1028,3,10,16,1,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3026,Sales,Navi Mumbai,India,230.0,6,1,7,11,1030,61,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Summer,230.0,"700,500,350"
overweight,male,vegan,more frequently,natural gas,often,118,never,28,3,6,46,23,Yes,['Metal'],"['Oven', 'Microwave']",2017,Engineering,Mumbai,India,3.0,7,2,24,5,220,70,Andheri (Airport area),"Vehicular, Corporate, Airport",762.72,688.79,992.64,741.47,297.46,2200.14,Winter,5683.22,"750,650,2000"
obese,male,vegan,twice a day,coal,never,56,very frequently,1112,5,5,17,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",3198,Engineering,Navi Mumbai,India,205.0,34,3,9,10,436,69,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Summer,205.0,"500,600"
obese,male,vegetarian,daily,coal,sometimes,226,very frequently,1741,1,9,42,2,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3619,Student,Mumbai,India,225.0,13,0,21,11,1789,111,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
obese,male,vegan,twice a day,natural gas,never,69,never,1903,1,18,22,4,Yes,"['Plastic', 'Metal']",[],1079,Operations,Mumbai,India,225.0,16,2,34,5,1909,124,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
underweight,male,pescatarian,less frequently,electricity,often,249,very frequently,363,1,11,23,9,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2084,Student,Navi Mumbai,India,265.0,35,2,41,4,783,85,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Summer,265.0,"1000,600"
obese,male,vegetarian,more frequently,coal,never,205,very frequently,1787,3,1,47,13,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",3995,Other,Mumbai,India,210.0,39,2,23,17,234,77,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Summer,210.0,"850,750"
obese,female,vegetarian,less frequently,electricity,sometimes,93,never,1406,4,17,18,5,Yes,['Metal'],['Stove'],1214,Finance,Mumbai,India,225.0,3,1,25,15,1359,146,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Post-Monsoon,225.0,"850,400"
obese,female,vegetarian,twice a day,electricity,never,94,never,32,4,11,2,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",737,Other,Mumbai,India,235.0,1,3,30,12,1158,23,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Monsoon,235.0,"750,850"
obese,female,vegan,twice a day,wood,often,273,frequently,296,6,10,45,8,Sometimes,['Paper'],[],2855,Other,Mumbai,India,6.0,5,3,22,6,1135,51,Andheri (Airport area),"Vehicular, Corporate, Airport",819.33,726.93,1199.61,919.31,372.62,2369.85,Summer,6407.65,"750,650,2000"
overweight,female,vegetarian,daily,electricity,sometimes,133,rarely,85,7,14,18,10,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1345,Finance,Navi Mumbai,India,225.0,3,2,1,13,1500,81,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
normal,male,omnivore,twice a day,coal,often,51,frequently,1878,7,2,50,16,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2543,Operations,Mumbai,India,240.0,28,0,58,0,1874,37,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Winter,240.00000000000003,650
overweight,female,vegetarian,less frequently,coal,never,65,very frequently,420,4,6,24,2,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2808,Operations,Navi Mumbai,India,230.0,17,1,38,11,468,125,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Winter,230.0,"700,500,350"
underweight,female,vegetarian,daily,wood,often,105,rarely,65,6,3,3,0,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1065,Finance,Navi Mumbai,India,240.0,25,3,32,2,1935,84,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Winter,240.00000000000003,"700,350"
normal,female,omnivore,more frequently,coal,sometimes,160,frequently,922,4,7,30,9,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2137,Engineering,Mumbai,India,235.0,33,4,23,17,1164,99,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Winter,235.0,"750,850"
underweight,male,omnivore,less frequently,natural gas,never,232,frequently,7937,4,3,15,4,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",4077,Engineering,Navi Mumbai,India,225.0,9,0,11,10,153,56,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Summer,225.0,"700,500"
normal,male,vegan,daily,wood,never,151,frequently,87,7,7,21,8,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2397,Engineering,Navi Mumbai,India,230.0,35,0,36,19,1252,92,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Winter,230.0,"700,500,350"
obese,male,vegetarian,more frequently,electricity,sometimes,52,very frequently,65,7,0,18,13,No,['Glass'],[],3359,Student,Mumbai,India,225.0,13,2,8,6,380,100,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
obese,female,vegan,daily,coal,never,209,frequently,276,7,11,20,18,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2627,Operations,Navi Mumbai,India,230.0,30,1,43,9,1459,119,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Monsoon,230.0,"700,1000"
overweight,female,vegetarian,twice a day,wood,often,283,very frequently,228,3,2,40,17,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2987,Engineering,Navi Mumbai,India,230.0,14,2,42,18,348,78,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Summer,230.0,"700,500,350"
normal,male,pescatarian,daily,electricity,sometimes,184,never,3434,4,15,6,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2041,Student,Navi Mumbai,India,205.0,7,1,43,12,1120,114,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Summer,205.0,"500,600"
obese,female,pescatarian,daily,wood,never,106,rarely,1928,6,13,29,18,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",2001,Student,Navi Mumbai,India,235.0,13,0,2,13,989,56,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
obese,female,omnivore,less frequently,electricity,never,116,frequently,9684,5,13,30,1,Yes,['Glass'],['Stove'],4839,Sales,Navi Mumbai,India,225.0,22,0,43,14,1906,120,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
underweight,male,pescatarian,more frequently,natural gas,never,212,rarely,957,7,10,24,19,No,"['Paper', 'Glass']","['Stove', 'Microwave']",1688,Finance,Mumbai,India,240.0,39,1,22,5,686,148,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
normal,male,vegetarian,twice a day,wood,sometimes,258,rarely,68,1,5,40,20,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1739,Student,Navi Mumbai,India,285.0,20,1,23,6,456,72,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Summer,285.0,"1000,350"
normal,female,vegan,more frequently,electricity,never,228,rarely,9420,3,2,42,16,Sometimes,"['Paper', 'Glass']",['Microwave'],2683,Operations,Navi Mumbai,India,265.0,15,4,32,12,586,81,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Winter,265.0,"1000,600"
normal,female,omnivore,less frequently,electricity,sometimes,151,frequently,1502,7,20,34,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2039,Other,Mumbai,India,7.0,17,0,29,15,1510,70,Andheri (Airport area),"Vehicular, Corporate, Airport",824.55,686.1,1056.45,888.31,378.41,2441.73,Monsoon,6275.55,"750,650,2000"
normal,male,pescatarian,more frequently,coal,sometimes,228,frequently,315,5,12,24,17,Yes,"['Plastic', 'Glass']",['Stove'],2158,Operations,Navi Mumbai,India,265.0,23,1,37,14,1808,33,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Winter,265.0,"1000,600"
overweight,female,omnivore,daily,wood,never,233,never,16,5,21,9,6,No,"['Glass', 'Metal']",['Microwave'],1281,Other,Mumbai,India,240.0,25,3,42,17,1499,127,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Winter,240.0,"750,400"
overweight,female,vegetarian,twice a day,electricity,often,214,very frequently,4586,5,12,34,19,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4457,Finance,Mumbai,India,225.0,24,7,1,2,1168,117,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
obese,female,omnivore,less frequently,coal,sometimes,164,rarely,523,1,4,1,24,Sometimes,['Plastic'],"['Oven', 'Microwave']",1491,Other,Navi Mumbai,India,245.0,28,0,39,15,1558,78,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Winter,245.0,"700,1000"
obese,male,omnivore,twice a day,electricity,never,276,never,4424,4,11,23,8,Yes,"['Paper', 'Glass']",['Stove'],3306,Finance,Mumbai,India,225.0,14,5,21,0,1805,20,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Summer,225.0,"750,400"
overweight,male,pescatarian,daily,wood,never,169,never,56,4,23,26,13,No,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1728,Other,Mumbai,India,225.0,0,1,10,0,631,75,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
normal,female,vegetarian,less frequently,coal,never,268,frequently,1040,4,18,2,2,Sometimes,['Metal'],"['Stove', 'Microwave']",1737,Engineering,Mumbai,India,255.0,24,1,58,18,856,37,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Winter,255.0,"1200,750"
underweight,male,vegetarian,twice a day,wood,often,291,very frequently,75,7,18,9,19,Yes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2642,Operations,Mumbai,India,230.0,6,3,11,5,1082,108,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Winter,230.0,"850,400"
overweight,male,vegetarian,twice a day,natural gas,often,75,never,3212,2,20,48,20,No,"['Glass', 'Metal']","['Stove', 'Microwave']",2590,Sales,Navi Mumbai,India,230.0,8,2,18,10,306,74,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Winter,230.0,"700,1000"
normal,female,vegetarian,less frequently,electricity,often,53,never,1,7,15,0,14,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",941,Finance,Navi Mumbai,India,240.0,23,0,19,6,1239,66,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Monsoon,240.00000000000003,"700,350"
underweight,male,vegetarian,twice a day,wood,never,186,very frequently,14,2,14,31,8,Sometimes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2351,Student,Mumbai,India,225.0,0,1,54,2,778,123,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Summer,225.0,"750,400"
underweight,male,pescatarian,daily,wood,never,201,rarely,70,4,19,18,20,Yes,[],"['Microwave', 'Grill', 'Airfryer']",1555,Student,Mumbai,India,240.0,7,1,8,5,1990,40,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Monsoon,240.0,"750,400"
