Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport
obese,female,vegetarian,more frequently,coal,0.0,sometimes,105,rarely,696,0.0,1,16,5,14,No,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1349,Finance,Mumbai,India,1.0,0.0,0.0,1.0,27,5,11,1,1990,108,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,male,vegan,more frequently,coal,0.0,often,179,rarely,8688,0.0,5,19,14,5,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4574,Engineering,Mumbai,India,5.0,0.0,0.0,1.0,15,4,18,5,1458,100,Borivali,"Residential, Vehicular",1,0,0,1,0,0
normal,female,vegan,less frequently,electricity,0.0,often,76,very frequently,31,0.0,4,1,0,0,No,"['Paper', 'Glass']",['Stove'],1467,Student,Mumbai,India,4.0,0.0,0.0,1.0,14,2,1,4,306,101,Sion,"Vehicular, Construction",0,0,0,1,1,0
obese,female,pescatarian,more frequently,coal,0.0,never,55,frequently,22,0.0,4,7,29,0,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2370,Sales,Mumbai,India,4.0,0.0,0.0,1.0,2,1,14,5,1231,115,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
overweight,male,omnivore,less frequently,wood,0.0,often,117,very frequently,1436,0.0,2,9,34,5,No,[],['Microwave'],3295,Student,Mumbai,India,2.0,0.0,0.0,1.0,36,1,37,4,355,76,Goregaon,"Residential, Construction",1,0,0,0,1,0
obese,male,vegetarian,more frequently,natural gas,0.0,never,214,very frequently,1,0.0,7,5,21,3,Yes,['Glass'],"['Oven', 'Microwave']",4071,Student,Navi Mumbai,India,7.0,0.0,0.0,1.0,6,0,7,11,1744,47,Taloja,"Industrial, Construction",0,0,1,0,1,0
normal,female,vegetarian,less frequently,electricity,0.0,often,135,frequently,964,0.0,3,19,31,5,No,"['Plastic', 'Metal']",[],1699,Student,Mumbai,India,3.0,0.0,0.0,1.0,20,2,45,3,346,140,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
underweight,female,pescatarian,more frequently,coal,0.0,sometimes,209,never,6528,0.0,6,8,24,22,No,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1858,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,8,1,34,13,1349,66,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
overweight,male,vegan,more frequently,electricity,0.0,often,193,rarely,88,0.0,6,9,17,8,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1210,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,38,3,37,13,277,29,Airoli,"Residential, Corporate",1,1,0,0,0,0
normal,female,pescatarian,daily,coal,0.0,often,243,rarely,1167,0.0,3,20,37,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1508,Finance,Mumbai,India,3.0,0.0,0.0,1.0,17,4,42,10,1266,60,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
obese,male,vegan,less frequently,coal,0.0,often,204,never,627,0.0,6,22,48,3,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2435,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,3,2,29,0,1269,93,Taloja,"Industrial, Construction",0,0,1,0,1,0
underweight,male,omnivore,twice a day,natural gas,0.0,often,197,frequently,5,0.0,3,14,4,16,No,['Metal'],[],1838,Finance,Mumbai,India,3.0,0.0,0.0,1.0,24,1,8,4,1200,34,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
obese,male,vegetarian,twice a day,coal,0.0,often,295,never,1307,0.0,3,9,19,11,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2009,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,13,2,29,4,137,93,Malad West,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegetarian,daily,coal,0.0,sometimes,193,frequently,11,0.0,4,6,40,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2342,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,8,3,48,11,491,71,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
overweight,male,vegetarian,twice a day,electricity,0.0,often,72,rarely,1367,0.0,4,14,26,3,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1299,Finance,Mumbai,India,4.0,0.0,0.0,1.0,25,3,18,4,691,78,Borivali,"Residential, Vehicular",1,0,0,1,0,0
obese,male,vegetarian,more frequently,electricity,0.0,often,168,rarely,1034,0.0,5,19,4,23,No,['Plastic'],['Stove'],1516,Other,Navi Mumbai,India,5.0,0.0,0.0,1.0,1,1,28,12,759,137,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
normal,female,omnivore,less frequently,electricity,0.0,often,59,very frequently,1014,0.0,5,7,33,13,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2166,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,19,2,1,10,1567,58,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
obese,male,vegetarian,less frequently,wood,0.0,never,179,rarely,648,0.0,5,21,44,18,Sometimes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2708,Operations,Navi Mumbai,India,5.0,0.0,0.0,1.0,27,3,27,0,893,145,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
overweight,female,omnivore,twice a day,coal,0.0,often,259,very frequently,1028,0.0,3,10,16,1,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3026,Sales,Navi Mumbai,India,3.0,0.0,0.0,1.0,6,1,7,11,1030,61,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
overweight,male,vegan,more frequently,natural gas,0.0,often,118,never,28,0.0,3,6,46,23,Yes,['Metal'],"['Oven', 'Microwave']",2017,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,7,2,24,5,220,70,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
obese,male,vegan,twice a day,coal,0.0,never,56,very frequently,1112,0.0,5,5,17,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",3198,Engineering,Navi Mumbai,India,5.0,0.0,0.0,1.0,34,3,9,10,436,69,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
obese,male,vegetarian,daily,coal,0.0,sometimes,226,very frequently,1741,0.0,1,9,42,2,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3619,Student,Mumbai,India,1.0,0.0,0.0,1.0,13,0,21,11,1789,111,Worli,"Vehicular, Construction",0,0,0,1,1,0
obese,male,vegan,twice a day,natural gas,0.0,never,69,never,1903,0.0,1,18,22,4,Yes,"['Plastic', 'Metal']",[],1079,Operations,Mumbai,India,1.0,0.0,0.0,1.0,16,2,34,5,1909,124,Malad West,"Residential, Construction",1,0,0,0,1,0
underweight,male,pescatarian,less frequently,electricity,0.0,often,249,very frequently,363,0.0,1,11,23,9,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2084,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,35,2,41,4,783,85,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,vegetarian,more frequently,coal,0.0,never,205,very frequently,1787,0.0,3,1,47,13,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",3995,Other,Mumbai,India,3.0,0.0,0.0,1.0,39,2,23,17,234,77,Borivali,"Residential, Vehicular",1,0,0,1,0,0
obese,female,vegetarian,less frequently,electricity,0.0,sometimes,93,never,1406,0.0,4,17,18,5,Yes,['Metal'],['Stove'],1214,Finance,Mumbai,India,4.0,0.0,0.0,1.0,3,1,25,15,1359,146,Malad West,"Residential, Construction",1,0,0,0,1,0
obese,female,vegetarian,twice a day,electricity,0.0,never,94,never,32,0.0,4,11,2,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",737,Other,Mumbai,India,4.0,0.0,0.0,1.0,1,3,30,12,1158,23,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
obese,female,vegan,twice a day,wood,0.0,often,273,frequently,296,0.0,6,10,45,8,Sometimes,['Paper'],[],2855,Other,Mumbai,India,6.0,0.0,0.0,1.0,5,3,22,6,1135,51,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
overweight,female,vegetarian,daily,electricity,0.0,sometimes,133,rarely,85,0.0,7,14,18,10,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1345,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,3,2,1,13,1500,81,Airoli,"Residential, Corporate",1,1,0,0,0,0
normal,male,omnivore,twice a day,coal,0.0,often,51,frequently,1878,0.0,7,2,50,16,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2543,Operations,Mumbai,India,7.0,0.0,0.0,1.0,28,0,58,0,1874,37,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
overweight,female,vegetarian,less frequently,coal,0.0,never,65,very frequently,420,0.0,4,6,24,2,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2808,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,17,1,38,11,468,125,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
underweight,female,vegetarian,daily,wood,0.0,often,105,rarely,65,0.0,6,3,3,0,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1065,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,25,3,32,2,1935,84,Kharghar,"Residential, Construction",1,0,0,0,1,0
normal,female,omnivore,more frequently,coal,0.0,sometimes,160,frequently,922,0.0,4,7,30,9,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2137,Engineering,Mumbai,India,4.0,0.0,0.0,1.0,33,4,23,17,1164,99,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,male,omnivore,less frequently,natural gas,0.0,never,232,frequently,7937,0.0,4,3,15,4,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",4077,Engineering,Navi Mumbai,India,4.0,0.0,0.0,1.0,9,0,11,10,153,56,Airoli,"Residential, Corporate",1,1,0,0,0,0
normal,male,vegan,daily,wood,0.0,never,151,frequently,87,0.0,7,7,21,8,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2397,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,35,0,36,19,1252,92,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
obese,male,vegetarian,more frequently,electricity,0.0,sometimes,52,very frequently,65,0.0,7,0,18,13,No,['Glass'],[],3359,Student,Mumbai,India,7.0,0.0,0.0,1.0,13,2,8,6,380,100,Worli,"Vehicular, Construction",0,0,0,1,1,0
obese,female,vegan,daily,coal,0.0,never,209,frequently,276,0.0,7,11,20,18,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2627,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,30,1,43,9,1459,119,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
overweight,female,vegetarian,twice a day,wood,0.0,often,283,very frequently,228,0.0,3,2,40,17,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2987,Engineering,Navi Mumbai,India,3.0,0.0,0.0,1.0,14,2,42,18,348,78,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
normal,male,pescatarian,daily,electricity,0.0,sometimes,184,never,3434,0.0,4,15,6,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2041,Student,Navi Mumbai,India,4.0,0.0,0.0,1.0,7,1,43,12,1120,114,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
obese,female,pescatarian,daily,wood,0.0,never,106,rarely,1928,0.0,6,13,29,18,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",2001,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,13,0,2,13,989,56,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
obese,female,omnivore,less frequently,electricity,0.0,never,116,frequently,9684,0.0,5,13,30,1,Yes,['Glass'],['Stove'],4839,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,22,0,43,14,1906,120,Airoli,"Residential, Corporate",1,1,0,0,0,0
underweight,male,pescatarian,more frequently,natural gas,0.0,never,212,rarely,957,0.0,7,10,24,19,No,"['Paper', 'Glass']","['Stove', 'Microwave']",1688,Finance,Mumbai,India,7.0,0.0,0.0,1.0,39,1,22,5,686,148,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
normal,male,vegetarian,twice a day,wood,0.0,sometimes,258,rarely,68,0.0,1,5,40,20,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1739,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,20,1,23,6,456,72,Taloja,"Industrial, Construction",0,0,1,0,1,0
normal,female,vegan,more frequently,electricity,0.0,never,228,rarely,9420,0.0,3,2,42,16,Sometimes,"['Paper', 'Glass']",['Microwave'],2683,Operations,Navi Mumbai,India,3.0,0.0,0.0,1.0,15,4,32,12,586,81,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
normal,female,omnivore,less frequently,electricity,0.0,sometimes,151,frequently,1502,0.0,7,20,34,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2039,Other,Mumbai,India,7.0,0.0,0.0,1.0,17,0,29,15,1510,70,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
normal,male,pescatarian,more frequently,coal,0.0,sometimes,228,frequently,315,0.0,5,12,24,17,Yes,"['Plastic', 'Glass']",['Stove'],2158,Operations,Navi Mumbai,India,5.0,0.0,0.0,1.0,23,1,37,14,1808,33,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
overweight,female,omnivore,daily,wood,0.0,never,233,never,16,0.0,5,21,9,6,No,"['Glass', 'Metal']",['Microwave'],1281,Other,Mumbai,India,5.0,0.0,0.0,1.0,25,3,42,17,1499,127,Sion,"Vehicular, Construction",0,0,0,1,1,0
overweight,female,vegetarian,twice a day,electricity,0.0,often,214,very frequently,4586,0.0,5,12,34,19,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4457,Finance,Mumbai,India,5.0,0.0,0.0,1.0,24,7,1,2,1168,117,Malad West,"Residential, Construction",1,0,0,0,1,0
obese,female,omnivore,less frequently,coal,0.0,sometimes,164,rarely,523,0.0,1,4,1,24,Sometimes,['Plastic'],"['Oven', 'Microwave']",1491,Other,Navi Mumbai,India,1.0,0.0,0.0,1.0,28,0,39,15,1558,78,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
obese,male,omnivore,twice a day,electricity,0.0,never,276,never,4424,0.0,4,11,23,8,Yes,"['Paper', 'Glass']",['Stove'],3306,Finance,Mumbai,India,4.0,0.0,0.0,1.0,14,5,21,0,1805,20,Worli,"Vehicular, Construction",0,0,0,1,1,0
overweight,male,pescatarian,daily,wood,0.0,never,169,never,56,0.0,4,23,26,13,No,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1728,Other,Mumbai,India,4.0,0.0,0.0,1.0,0,1,10,0,631,75,Worli,"Vehicular, Construction",0,0,0,1,1,0
normal,female,vegetarian,less frequently,coal,0.0,never,268,frequently,1040,0.0,4,18,2,2,Sometimes,['Metal'],"['Stove', 'Microwave']",1737,Engineering,Mumbai,India,4.0,0.0,0.0,1.0,24,1,58,18,856,37,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
underweight,male,vegetarian,twice a day,wood,0.0,often,291,very frequently,75,0.0,7,18,9,19,Yes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2642,Operations,Mumbai,India,7.0,0.0,0.0,1.0,6,3,11,5,1082,108,Goregaon,"Residential, Construction",1,0,0,0,1,0
overweight,male,vegetarian,twice a day,natural gas,0.0,often,75,never,3212,0.0,2,20,48,20,No,"['Glass', 'Metal']","['Stove', 'Microwave']",2590,Sales,Navi Mumbai,India,2.0,0.0,0.0,1.0,8,2,18,10,306,74,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
normal,female,vegetarian,less frequently,electricity,0.0,often,53,never,1,0.0,7,15,0,14,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",941,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,23,0,19,6,1239,66,Kharghar,"Residential, Construction",1,0,0,0,1,0
underweight,male,vegetarian,twice a day,wood,0.0,never,186,very frequently,14,0.0,2,14,31,8,Sometimes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2351,Student,Mumbai,India,2.0,0.0,0.0,1.0,0,1,54,2,778,123,Worli,"Vehicular, Construction",0,0,0,1,1,0
underweight,male,pescatarian,daily,wood,0.0,never,201,rarely,70,0.0,4,19,18,20,Yes,[],"['Microwave', 'Grill', 'Airfryer']",1555,Student,Mumbai,India,4.0,0.0,0.0,1.0,7,1,8,5,1990,40,Sion,"Vehicular, Construction",0,0,0,1,1,0
obese,female,vegan,twice a day,electricity,0.0,never,70,very frequently,1591,0.0,6,20,17,11,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2545,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,23,0,42,0,384,119,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
underweight,female,pescatarian,more frequently,electricity,0.0,often,224,rarely,1145,0.0,1,7,37,9,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1174,Operations,Mumbai,India,1.0,0.0,0.0,1.0,10,0,57,7,1911,29,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
obese,male,omnivore,twice a day,electricity,0.0,often,241,frequently,34,0.0,5,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719,Student,Navi Mumbai,India,5.0,0.0,0.0,1.0,16,3,17,13,1037,103,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
